filename;section;text;light
001.rtf;common;На должность коммерческого агента назначается лицоимеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;1
001.rtf;common;Назначение на должность коммерческого агента и освобождение от нее производится приказом директора предприятия;1
001.rtf;common;Коммерческий агент должен знать;1
001.rtf;common;Нормативные правовые актыположенияинструкциидругие руководящие материалы и документыкасающиеся ведения бизнеса;0
001.rtf;common;Основы рыночной экономики;0
001.rtf;common;Методы установления деловых контактов;0
001.rtf;common;Порядок оформления документовсвязанных с куплей-продажей товаров и заключением договоровсоглашений и контрактов на оказание услуг;0
001.rtf;common;Основы трудовогофинансового хозяйственного  и налогового законодательства;0
001.rtf;common;Действующие формы учета и отчетности;0
001.rtf;common;Организацию погрузочно-разгрузочных работ;0
001.rtf;common;Условия хранения и транспортировки товаров;0
001.rtf;common;Правила внутреннего трудового распорядка;0
001.rtf;common;. Правила и нормы охраны труда;0
001.rtf;common;..;0
001.rtf;common;Коммерческий агент подчиняется непосредственно .;1
001.rtf;common;На время отсутствия коммерческого агента (отпускболезньпр.) его обязанности исполняет лицоназначенное в установленном порядке. Данное лицо приобретает соответствующие права и несет ответственность за надлежащее их исполнение;1
001.rtf;common;.;0
001.rtf;tasks;Коммерческий агент;1
001.rtf;tasks;Участвует в работе по установлению необходимых деловых контактов между покупателями и продавцами товароввключая техническую и другую продукцию (оборудованиесырьеполуфабрикаты и др.)а также оказанию различных коммерческих услуг;0
001.rtf;tasks;Содействует покупке и продаже партий товаров (оптом)а также театральноймузыкальной и других видов творческой продукции (постановка представленийвыступление артистовспортсменовиздание книгзапись музыкальных произведений и др.);0
001.rtf;tasks;Обеспечивает надлежащее оформление заключаемых договоров и контрактовдругих необходимых документовв том числе страховых  и экспортных лицензий;0
001.rtf;tasks;Выполняет необходимую техническую работу при заключении соглашенийдоговоров и контрактовразмещении рекламы в средствах массовой информации;0
001.rtf;tasks;Организует предоставление транспортных средств и обеспечение выполнения других условийпредусмотренных заключенными соглашениямидоговорами и контрактамиоказывает помощь в доставке товаров;0
001.rtf;tasks;.;0
001.rtf;rights;Коммерческий агент имеет право;1
001.rtf;rights;Знакомиться с проектами решений руководства предприятиякасающихся его деятельности;0
001.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документынеобходимые для выполнения его должностных обязанностей;0
001.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работысвязанной с предусмотренными настоящей инструкцией обязанностями;0
001.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0
